Date,Class,OAS,WARF,ER_M,Trl_12M_ER
7/31/2008,FA,856.6334858,2646.678425,-0.559599287,9.708398089
8/29/2008,FA,903.0417801,2763.847001,-11.33948031,30.93058201
9/30/2008,FA,1235.687363,2950.139128,-11.28144067,49.97940434
10/31/2008,FA,1606.192987,3234.337753,-16.90316995,80.71115737
11/26/2008,FA,2168.686985,4027.999483,14.11118967,67.36828964
12/31/2008,FA,1699.284611,4294.971785,5.54453217,59.34249975
1/30/2009,FA,1530.219321,3731.179811,-3.142381195,64.49372115
2/27/2009,FA,1736.12671,3782.958073,5.946903425,63.26838177
3/31/2009,FA,1649.427928,3786.40875,14.3055825,44.90883473
4/30/2009,FA,1299.676997,3582.466896,8.698566849,26.2615003
5/29/2009,FA,1113.485743,3271.179674,2.404687579,22.74329213
6/30/2009,FA,1029.3811,3184.10379,4.461876989,21.09020822
7/31/2009,FA,970.2320943,3317.095284,2.177603889,16.88013563
8/31/2009,FA,913.0135994,3452.452562,5.811165291,13.93103396
9/30/2009,FA,825.7844652,3380.244171,1.626040905,15.14722648
10/30/2009,FA,794.1524286,3369.401081,0.123909668,14.07791217
11/30/2009,FA,717.2055784,3338.384543,5.68575246,10.92110001
12/31/2009,FA,596.7342453,2910.371138,0.483368908,12.81120277
1/29/2010,FA,603.0142686,2749.971918,-0.01116988,14.6866625
2/26/2010,FA,627.2258356,2707.241823,5.157688421,9.746665235
3/31/2010,FA,513.6245059,2589.536712,1.451907489,8.84221897
4/30/2010,FA,486.8346387,2542.591164,-5.289113964,14.81194609
5/28/2010,FA,621.0025489,2529.448869,-0.448763456,14.45422394
6/30/2010,FA,642.8499481,2544.731358,3.055003791,10.02016815
7/30/2010,FA,577.0995621,2459.540508,-1.374913994,4.021939942
8/31/2010,FA,607.3777117,2371.873641,3.14135419,-3.891274649
9/30/2010,FA,553.0930579,2386.413825,2.710879919,-2.937630689
10/29/2010,FA,525.1984979,2396.487762,-0.805890659,-4.640353261
11/30/2010,FA,553.0866145,2417.954476,2.761171687,-5.949994582
12/31/2010,FA,492.0840523,2362.774664,2.195612047,-4.43862828
1/31/2011,FA,452.4945863,2348.117809,1.65112092,-2.776067935
2/28/2011,FA,426.9313839,2323.379446,0.628140853,-2.260000634
3/31/2011,FA,415.7137497,2285.070402,0.615820136,-3.089452886
4/29/2011,FA,409.5398366,2310.593128,-0.094455581,-4.946455589
5/31/2011,FA,421.5800348,2294.460835,-0.758937472,-2.355267172
6/30/2011,FA,467.3539041,2336.036726,-0.937436337,-0.03297855
7/29/2011,FA,486.8757693,2315.510515,-6.751889716,9.556691163
8/31/2011,FA,668.6867696,2349.719179,-4.704871994,17.21819586
9/30/2011,FA,766.6757059,2294.270873,3.730034111,15.90003584
10/31/2011,FA,630.9399844,2309.710189,-2.546009412,18.98718
11/30/2011,FA,687.8591672,2406.105998,1.349880001,19.57142284
12/30/2011,FA,687.3195471,2348.822471,3.83787675,18.30872119
1/31/2012,FA,606.9677355,2298.995226,3.419629677,14.56807937
2/29/2012,FA,525.631055,2378.957892,1.162277787,14.53796891
3/30/2012,FA,540.75565,2390.451764,-0.238037231,15.91825023
4/30/2012,FA,526.8266778,2285.146434,-2.008848509,20.54882446
